,PriceUpdateDate,ItemCode,ItemType,ItemName,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,bIsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus,ItemId
96,2018-07-01 12:52:48,7290000166148,1,תחליב דאב בייבי 700,אתר ליוור - HPC,ישראל,DOVE,מיליליטרים,700.00,"100 מ""ל",0,לא ידוע,14.90,0.0213,1,1,16549
97,2018-07-01 14:09:54,7290000363462,1,סלמי איטלקי,טירת- צבי,ישראל,טירת- צבי,קילוגרמים,1.00,"ק""ג",1,לא ידוע,79.00,79.0000,1,1,17161
98,2018-07-01 15:02:42,7296021152177,1,סכין פריז זוג,לא ידוע,לא ידוע,סכין פריז זוג,יח',2.00,יח',0,לא ידוע,14.90,7.4500,1,1,37864
99,2018-07-11 11:14:29,7290005384295,1,ג. גאודה  חצי קשה 27,לא ידוע,כללי,ג. גאודה חצי קשה 27%,קילוגרמים,1.00,"ק""ג",1,לא ידוע,29.00,29.0000,1,1,10271
100,2018-07-16 12:51:35,7290002053088,1,אטריות ביצים,פ.פ.ח טאביט,פולין,אוריינטל,גרמים,200.00,100 גרם,0,לא ידוע,5.90,0.0295,1,1,38564
101,2018-07-16 12:55:26,7290000055206,1,גבינה לבנה עם בצל 5%,תנובה,ישראל,תנובה,גרמים,250.00,100 גרם,0,לא ידוע,5.30,0.0212,1,1,40503
102,2018-07-16 12:55:29,7290000056272,1,גבינה לבנה עם זיתים,תנובה,ישראל,תנובה,גרמים,250.00,100 גרם,0,לא ידוע,5.30,0.0212,1,1,40509
103,2018-07-16 12:56:16,7290000134338,1,שום אבקה 90 גרם מיכל,"תבליני טעם וריח בע""מ",ישראל,"תבליני טעם וריח בע""מ",גרמים,90.00,100 גרם,0,לא ידוע,7.90,0.0878,1,1,40816
104,2018-07-16 12:56:17,7290000134550,1,עלי דפנה בשקית 12 יח,"תבליני טעם וריח בע""מ",ישראל,"תבליני טעם וריח בע""מ",גרמים,20.00,100 גרם,0,לא ידוע,4.90,0.2450,1,1,40819
105,2018-07-16 12:57:32,7290000201818,1,טיטולים פרימיום שלב,לא ידוע,כללי,טיטולים פרימיום שלב 2 64,יח',52.00,יח',0,לא ידוע,29.90,0.5750,1,1,39251
106,2018-07-16 12:57:39,7290000204932,1,פיסגה 1.250,סנו,ישראל,פיסגה,קילוגרמים,1.25,"ק""ג     ",0,לא ידוע,11.90,9.5200,1,1,38798
107,2018-07-16 12:58:14,7290000272467,1,עסיס סירופ פטל דיאט,בית השיטה עסיס תעשיו,ישראל,עסיס,ליטרים,1.00,ליטר    ,0,לא ידוע,9.90,9.9000,1,1,38361
